"Beh_State","LC_Cov","LC_Coef","Weath_Cov","Weath_Coef","Interaction"
"Roosting","BA.Z",1.188,"WC_prev",-0.121,-0.007
"Roosting","BA.Z",0.993,"SD",-0.418,0.019
"Roosting","DtFE.Z",0.633,"WC_prev",-0.109,-0.009
"Roosting","DtFE.Z",0.415,"SD",-0.364,0.017
"Roosting","SW.Z",0.995,"WC_prev",-0.109,-0.014
"Roosting","SW.Z",0.683,"SD",-0.401,0.018
"Roosting","Ht.Z",1.306,"WC_prev",-0.129,0.002
"Roosting","Ht.Z",1.333,"SD",-0.431,0
"Roosting","Wind.Exp.Z",-0.132,"WC_prev",-0.107,0.006
"Roosting","Wind.Exp.Z",-0.041,"SD",-0.367,0
"Loafing","BA.Z",0.747,"WC_prev",-0.16,0.01
"Loafing","BA.Z",0.9,"SD",-0.283,-0.005
"Loafing","DtFE.Z",0.345,"WC_prev",-0.148,0.001
"Loafing","DtFE.Z",0.475,"SD",-0.27,-0.015
"Loafing","Ht.Z",0.56,"WC_prev",-0.156,0.011
"Loafing","Ht.Z",0.744,"SD",-0.279,-0.009
"Loafing","Wind.Exp.Z",-0.002,"WC_prev",-0.144,-0.007
"Loafing","Wind.Exp.Z",0.045,"SD",-0.266,-0.017
"Loafing","PropAg.Z",-0.653,"WC_prev",-0.148,0.005
"Loafing","PropAg.Z",-0.623,"SD",-0.274,0.005
"Loafing","PropDev.Z",-0.584,"WC_prev",-0.153,-0.004
"Loafing","PropDev.Z",-0.597,"SD",-0.281,-0.006
"Loafing","PropSW.Z",0.905,"WC_prev",-0.154,-0.019
"Loafing","PropSW.Z",0.962,"SD",-0.289,-0.039
"Loafing","PropFoodSub.Z",-0.673,"WC_prev",-0.155,0
"Loafing","PropFoodSub.Z",-0.697,"SD",-0.282,0.003
"Foraging","DtFE.Z",-0.195,"WC_prev",-0.121,0.002
"Foraging","DtFE.Z",-0.102,"SD",-0.486,-0.018
"Foraging","Wind.Exp.Z",-0.004,"WC_prev",-0.121,0.001
"Foraging","Wind.Exp.Z",0.016,"SD",-0.479,-0.002
"Foraging","PropAg.Z",-0.371,"WC_prev",-0.125,0.004
"Foraging","PropAg.Z",-0.263,"SD",-0.495,-0.01
"Foraging","PropDev.Z",-0.217,"WC_prev",-0.124,-0.002
"Foraging","PropDev.Z",-0.293,"SD",-0.477,0.011
"Foraging","PropSW.Z",-0.003,"WC_prev",-0.122,0
"Foraging","PropSW.Z",0,"SD",-0.485,-0.003
"Foraging","PropFoodSub.Z",-0.143,"WC_prev",-0.121,0.002
"Foraging","PropFoodSub.Z",-0.1,"SD",-0.474,-0.003
