"mean","sd","0.025quant","0.975quant","WeatherCov","HabitatCov","CovName","Analysis"
-0.007,0.004,-0.015,0,"WC_prev","BA.Z","BA.Z:WC_prev","Roosting"
0.019,0.013,-0.006,0.044,"SD","BA.Z","BA.Z:SD","Roosting"
-0.009,0.003,-0.016,-0.002,"WC_prev","DtFE.Z","DtFE.Z:WC_prev","Roosting"
0.017,0.011,-0.004,0.038,"SD","DtFE.Z","DtFE.Z:SD","Roosting"
-0.014,0.004,-0.021,-0.007,"WC_prev","SW.Z","SW.Z:WC_prev","Roosting"
0.018,0.011,-0.003,0.039,"SD","SW.Z","SW.Z:SD","Roosting"
0.002,0.005,-0.008,0.012,"WC_prev","Ht.Z","Ht.Z:WC_prev","Roosting"
0,0.017,-0.033,0.035,"SD","Ht.Z","Ht.Z:SD","Roosting"
0.006,0.003,-0.001,0.012,"WC_prev","Wind.Exp.Z","Wind.Exp.Z:WC_prev","Roosting"
0,0.011,-0.021,0.021,"SD","Wind.Exp.Z","Wind.Exp.Z:SD","Roosting"
0.01,0.005,0.001,0.019,"WC_prev","BA.Z","BA.Z:WC_prev","Loafing"
-0.005,0.01,-0.023,0.014,"SD","BA.Z","BA.Z:SD","Loafing"
0.001,0.005,-0.009,0.011,"WC_prev","DtFE.Z","DtFE.Z:WC_prev","Loafing"
-0.015,0.011,-0.037,0.007,"SD","DtFE.Z","DtFE.Z:SD","Loafing"
0.011,0.005,0.001,0.021,"WC_prev","Ht.Z","Ht.Z:WC_prev","Loafing"
-0.009,0.01,-0.029,0.011,"SD","Ht.Z","Ht.Z:SD","Loafing"
-0.007,0.004,-0.014,0.001,"WC_prev","Wind.Exp.Z","Wind.Exp.Z:WC_prev","Loafing"
-0.017,0.008,-0.033,-0.002,"SD","Wind.Exp.Z","Wind.Exp.Z:SD","Loafing"
0.005,0.007,-0.009,0.02,"WC_prev","PropAg.Z","PropAg.Z:WC_prev","Loafing"
0.005,0.012,-0.019,0.028,"SD","PropAg.Z","PropAg.Z:SD","Loafing"
-0.004,0.007,-0.017,0.009,"WC_prev","PropDev.Z","PropDev.Z:WC_prev","Loafing"
-0.006,0.015,-0.036,0.024,"SD","PropDev.Z","PropDev.Z:SD","Loafing"
-0.019,0.007,-0.032,-0.006,"WC_prev","PropSW.Z","PropSW.Z:WC_prev","Loafing"
-0.039,0.014,-0.067,-0.011,"SD","PropSW.Z","PropSW.Z:SD","Loafing"
0,0.007,-0.014,0.013,"WC_prev","PropFoodSub.Z","PropFoodSub.Z:WC_prev","Loafing"
0.003,0.013,-0.023,0.028,"SD","PropFoodSub.Z","PropFoodSub.Z:SD","Loafing"
0.002,0.001,-0.001,0.004,"WC_prev","DtFE.Z","DtFE.Z:WC_prev","Foraging"
-0.018,0.004,-0.026,-0.009,"SD","DtFE.Z","DtFE.Z:SD","Foraging"
0.001,0.001,-0.001,0.003,"WC_prev","Wind.Exp.Z","Wind.Exp.Z:WC_prev","Foraging"
-0.002,0.004,-0.01,0.005,"SD","Wind.Exp.Z","Wind.Exp.Z:SD","Foraging"
0.004,0.001,0.002,0.007,"WC_prev","PropAg.Z","PropAg.Z:WC_prev","Foraging"
-0.01,0.004,-0.017,-0.002,"SD","PropAg.Z","PropAg.Z:SD","Foraging"
-0.002,0.001,-0.005,0.001,"WC_prev","PropDev.Z","PropDev.Z:WC_prev","Foraging"
0.011,0.005,0.001,0.022,"SD","PropDev.Z","PropDev.Z:SD","Foraging"
0,0.001,-0.003,0.002,"WC_prev","PropSW.Z","PropSW.Z:WC_prev","Foraging"
-0.003,0.004,-0.011,0.005,"SD","PropSW.Z","PropSW.Z:SD","Foraging"
0.002,0.001,-0.001,0.004,"WC_prev","PropFoodSub.Z","PropFoodSub.Z:WC_prev","Foraging"
-0.003,0.004,-0.011,0.005,"SD","PropFoodSub.Z","PropFoodSub.Z:SD","Foraging"
