"mean","sd","X0.025quant","X0.975quant","WeatherCov","HabitatCov","CovName","Analysis"
1.219,0.139,0.949,1.497,"Wind Chill","Basal Area","Basal Area","Roosting"
1.067,0.132,0.807,1.33,"Snow Depth","Basal Area","Basal Area","Roosting"
0.664,0.205,0.259,1.069,"Wind Chill","Dist. to Forest Edge","Dist. to Forest Edge","Roosting"
0.496,0.202,0.097,0.895,"Snow Depth","Dist. to Forest Edge","Dist. to Forest Edge","Roosting"
0.958,0.109,0.742,1.172,"Wind Chill","Percent Softwood","Percent Softwood","Roosting"
0.656,0.103,0.45,0.856,"Snow Depth","Percent Softwood","Percent Softwood","Roosting"
1.324,0.219,0.897,1.763,"Wind Chill","Mean Tree Height","Mean Tree Height","Roosting"
1.428,0.214,1.01,1.857,"Snow Depth","Mean Tree Height","Mean Tree Height","Roosting"
-0.135,0.083,-0.304,0.024,"Wind Chill","Wind Exposure","Wind Exposure","Roosting"
-0.056,0.07,-0.195,0.083,"Snow Depth","Wind Exposure","Wind Exposure","Roosting"
0.674,0.099,0.477,0.871,"Wind Chill","Basal Area","Basal Area","Stationary"
0.797,0.099,0.603,0.993,"Snow Depth","Basal Area","Basal Area","Stationary"
0.215,0.114,-0.013,0.437,"Wind Chill","Dist. to Forest Edge","Dist. to Forest Edge","Stationary"
0.29,0.11,0.069,0.502,"Snow Depth","Dist. to Forest Edge","Dist. to Forest Edge","Stationary"
0.455,0.126,0.213,0.71,"Wind Chill","Mean Tree Height","Mean Tree Height","Stationary"
0.53,0.128,0.282,0.79,"Snow Depth","Mean Tree Height","Mean Tree Height","Stationary"
0.038,0.067,-0.096,0.167,"Wind Chill","Wind Exposure","Wind Exposure","Stationary"
-0.02,0.073,-0.168,0.121,"Snow Depth","Wind Exposure","Wind Exposure","Stationary"
-0.738,0.265,-1.34,-0.292,"Wind Chill","Agriculture","Agriculture","Stationary"
-0.849,0.248,-1.417,-0.441,"Snow Depth","Agriculture","Agriculture","Stationary"
-0.486,0.135,-0.767,-0.231,"Wind Chill","Developed","Developed","Stationary"
-0.571,0.147,-0.874,-0.29,"Snow Depth","Developed","Developed","Stationary"
0.504,0.136,0.235,0.773,"Wind Chill","Percent Softwood","Percent Softwood","Stationary"
0.736,0.133,0.474,0.997,"Snow Depth","Percent Softwood","Percent Softwood","Stationary"
-0.552,0.143,-0.841,-0.274,"Wind Chill","Food Subsidy","Food Subsidy","Stationary"
-0.734,0.139,-1.016,-0.465,"Snow Depth","Food Subsidy","Food Subsidy","Stationary"
-0.221,0.069,-0.356,-0.085,"Wind Chill","Dist. to Forest Edge","Dist. to Forest Edge","Mobile"
-0.097,0.067,-0.229,0.037,"Snow Depth","Dist. to Forest Edge","Dist. to Forest Edge","Mobile"
-0.009,0.024,-0.058,0.038,"Wind Chill","Wind Exposure","Wind Exposure","Mobile"
0.01,0.021,-0.03,0.051,"Snow Depth","Wind Exposure","Wind Exposure","Mobile"
-0.307,0.084,-0.492,-0.159,"Wind Chill","Agriculture","Agriculture","Mobile"
-0.178,0.083,-0.361,-0.035,"Snow Depth","Agriculture","Agriculture","Mobile"
-0.163,0.138,-0.448,0.099,"Wind Chill","Developed","Developed","Mobile"
-0.268,0.138,-0.551,-0.006,"Snow Depth","Developed","Developed","Mobile"
-0.038,0.049,-0.134,0.059,"Wind Chill","Percent Softwood","Percent Softwood","Mobile"
-0.04,0.047,-0.134,0.051,"Snow Depth","Percent Softwood","Percent Softwood","Mobile"
-0.106,0.071,-0.251,0.032,"Wind Chill","Food Subsidy","Food Subsidy","Mobile"
-0.062,0.069,-0.201,0.072,"Snow Depth","Food Subsidy","Food Subsidy","Mobile"
