STATION,NAME,DATE,AWND,DAPR,MDPR,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/1/2017,6.26,,,,0.13,,0,0,42,46,32,,310,300,,,16.1,23,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/2/2017,2.01,,,,0,,0,0,32,38,24,,20,30,,,8.9,12.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/3/2017,3.8,,,,0,,0,0,33,39,24,,360,10,,,12.1,14.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/4/2017,4.7,,,,0,,0,0,31,40,22,,10,10,,,13,16.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/5/2017,7.83,,,,0.42,,0,0,33,51,23,,180,180,,,29.1,40.9,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/6/2017,8.5,,,,0.77,,0,0,46,54,28,,180,180,,,32,46.1,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/7/2017,5.14,,,,0,,0,0,33,42,24,,270,270,,,16.1,23,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/8/2017,3.58,,,,0,,0,0,31,37,24,,270,250,,,12.1,16.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/9/2017,4.92,,,,0.32,,5.2,0,30,35,26,,360,10,,,15,19.9,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/10/2017,7.16,,,,0.02,,0.5,5.9,30,34,13,,340,340,,,16.1,21.9,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/11/2017,4.7,,,,0,,0,5.9,24,33,13,,340,340,,,17,19.9,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/12/2017,8.72,,,,0.55,,2.1,5.9,17,33,13,,30,10,,,15,18.1,1,,,1,,1,1,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/13/2017,8.05,,,,0.26,,0.6,5.9,27,33,10,,320,290,,,19.9,27.1,1,,,1,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/14/2017,6.71,,,,0,,0,5.9,13,17,4,,250,210,,,14.1,19.9,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/15/2017,4.47,,,,0,,0,5.9,12,21,6,,240,250,,,13,16.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/16/2017,4.7,,,,0,,0,5.9,18,23,11,,300,300,,,13,18.1,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/17/2017,5.14,,,,0,,0,5.9,13,20,1,,310,320,,,17,23,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/18/2017,2.46,,,,0.22,,3.1,5.9,9,19,-1,,350,350,,,8.9,10.1,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/19/2017,3.13,,,,0.09,,1.2,9.1,21,36,13,,250,250,,,15,23,1,,,,,1,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/20/2017,7.16,,,,0.01,,0.1,9.8,30,35,15,,320,310,,,19.9,25.1,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/21/2017,9.84,,,,0,,0,9.8,16,21,8,,310,330,,,18.1,23.9,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/22/2017,2.91,,,,0.08,,2.4,9.8,8,15,-1,,290,300,,,10.1,16.1,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/23/2017,6.93,,,,0.5,,0.3,9.8,21,35,14,,360,10,,,13,16.1,1,,,,,1,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/24/2017,9.84,,,,0,,0,7.9,30,35,19,,330,330,,,21.9,27.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/25/2017,11.18,,,,0.46,,12.2,7.9,16,20,-5,,340,360,,,30,45,1,,,,,,,1
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/26/2017,9.17,,,,0,,0,16.1,12,21,-5,,270,280,,,18.1,29.1,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/27/2017,6.71,,,,0,,0,15,5,10,-9,,280,280,,,18.1,28,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/28/2017,9.84,,,,0,,0,15,-5,-1,-15,,320,310,,,23.9,32,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",12/29/2017,4.7,,,,0,,0,15,-4,3,-19,,320,330,,,15,17,,,,,,,,
