"Beh_State","LC_Cov","LC_Coef","Weath_Cov","Weath_Coef","Interaction","DTFE"
"Roosting","BA.Z",0.56,"WC_prev",0.164,-0.013,NA
"Roosting","BA.Z",0.727,"SD",-0.048,0.001,NA
"Roosting","DtFE.Z",0.065,"WC_prev",0.145,-0.004,NA
"Roosting","DtFE.Z",0.115,"SD",-0.044,0,NA
"Roosting","SW.Z",0.174,"WC_prev",0.154,-0.018,NA
"Roosting","SW.Z",0.391,"SD",-0.046,0.001,NA
"Roosting","Ht.Z",1.069,"WC_prev",0.169,-0.002,NA
"Roosting","Ht.Z",1.08,"SD",-0.051,0,NA
"Roosting","Wind.Exp.Z",-0.024,"WC_prev",0.148,0,NA
"Roosting","Wind.Exp.Z",0.062,"SD",-0.044,-0.002,NA
"Roosting","PropSW.Z",0.055,"WC_prev",0.154,-0.014,NA
"Roosting","PropSW.Z",0.171,"SD",-0.046,0.002,NA
"Stationary","BA.Z",0.481,"WC",0.138,-0.004,NA
"Stationary","BA.Z",0.656,"SD",-0.038,-0.002,NA
"Stationary","DtFE.Z",1.679,"WC",0.249,0.134,0
"Stationary","DtFE.Z",1.679,"WC",0.249,-1.626,1
"Stationary","DtFE.Z",-0.557,"SD",-0.06,-0.002,0
"Stationary","DtFE.Z",-0.557,"SD",-0.06,0.837,1
"Stationary","Ht.Z",0.466,"WC",0.137,0.004,NA
"Stationary","Ht.Z",0.574,"SD",-0.038,-0.003,NA
"Stationary","Wind.Exp.Z",-0.005,"WC",0.134,0.003,NA
"Stationary","Wind.Exp.Z",-0.046,"SD",-0.036,0,NA
"Stationary","PropAg.Z",-1.252,"WC",0.143,-0.017,NA
"Stationary","PropAg.Z",-1.028,"SD",-0.039,0.002,NA
"Stationary","PropDev.Z",-0.405,"WC",0.136,0.002,NA
"Stationary","PropDev.Z",-0.416,"SD",-0.038,0,NA
"Stationary","PropSW.Z",0.164,"WC",0.141,-0.01,NA
"Stationary","PropSW.Z",0.569,"SD",-0.038,-0.004,NA
"Stationary","PropFoodSub.Z",-0.698,"WC",0.138,-0.008,NA
"Stationary","PropFoodSub.Z",-0.639,"SD",-0.038,0.002,NA
"Stationary","SW.Z",0.216,"WC",0.136,-0.007,NA
"Stationary","SW.Z",0.43,"SD",-0.037,-0.002,NA
"Mobile","DtFE.Z",-0.428,"WC",0.18,0.742,NA
"Mobile","DtFE.Z",-0.238,"SD",-0.053,0.955,NA
"Mobile","Wind.Exp.Z",0.008,"WC",0.149,NA,0
"Mobile","Wind.Exp.Z",0.008,"WC",0.149,NA,1
"Mobile","Wind.Exp.Z",-0.011,"SD",-0.044,NA,0
"Mobile","Wind.Exp.Z",-0.011,"SD",-0.044,NA,1
"Mobile","PropAg.Z",-0.117,"WC",0.155,0.01,NA
"Mobile","PropAg.Z",-0.183,"SD",-0.046,-0.003,NA
"Mobile","PropDev.Z",-0.303,"WC",0.15,-0.003,NA
"Mobile","PropDev.Z",-0.401,"SD",-0.045,0.003,NA
"Mobile","PropSW.Z",-0.036,"WC",0.149,0,NA
"Mobile","PropSW.Z",-0.059,"SD",-0.044,0.001,NA
"Mobile","PropFoodSub.Z",-0.02,"WC",0.146,0.005,NA
"Mobile","PropFoodSub.Z",-0.041,"SD",-0.044,-0.001,NA
"Mobile","BA.Z",0.233,"WC",0.151,0,NA
"Mobile","BA.Z",0.251,"SD",-0.045,0,NA
"Mobile","SW.Z",0.137,"WC",0.148,-0.001,NA
"Mobile","SW.Z",0.168,"SD",-0.044,0,NA
