"est.roost","est.loafing","est.foraging","se.roost","se.loafing","se.foraging","lower.roost","lower.loafing","lower.foraging","upper.roost","upper.loafing","upper.foraging"
"mean",2.54235803363237,11.2485017568902,133.434076797103,0.461333051557,0.260547370386854,1.38653244894644,1.63816186770269,10.7378382946654,130.716523133772,3.44655419956205,11.7591652191151,136.151630460434
"sd",1.15605991682203,9.71556670531742,120.134079974856,6.63063385370432,0.281248744760962,1.28541572075545,-11.8397436311105,9.16432929488883,117.614711457014,14.1518634647545,10.266804115746,122.653448492698
"zeromass",0.999990957790378,1.75857838057199e-05,7.5575340057145e-06,3.06562684252935e-05,6.20760550364483e-05,2.53382834018206e-05,0.999930872608364,-0.000104081048368045,-4.21045888919229e-05,1.00005104297239,0.000139252615979485,5.72196569033519e-05
"est.roost","est.loafing","est.foraging","se.roost","se.loafing","se.foraging","lower.roost","lower.loafing","lower.foraging","upper.roost","upper.loafing","upper.foraging"
"concentration",0.11325052225094,0.27295416867731,0.273210875486848,0.20224647641598,0.00636065582660555,0.00632208275779347,-0.283145287524509,0.260487512339108,0.260819820974291,0.509646332026389,0.285420825015512,0.285601929999405
"est.roost","est.loafing","est.foraging","se.roost","se.loafing","se.foraging","lower.roost","lower.loafing","lower.foraging","upper.roost","upper.loafing","upper.foraging"
"roost",0.000673136715261432,0.961038033911142,0.0382888293735969,0.000345007105988966,0.0218007184731205,0.0217466571151726,0.000246446686508189,0.887383790273267,0.0123574274520181,0.00183722681700663,0.987214355533853,0.112440798113168
"loafing",5.69693005769585e-46,0.783378437727475,0.216621562272525,1.67261741977433e-48,0.0483862466962533,0.0483862466961211,5.66424150120385e-46,0.674061386203594,0.136541656023748,5.72980726110997e-46,0.863458343976432,0.32593861379607
"foraging",1.08250667611058e-10,0.0754254561977664,0.924574543693983,4.27150250524126e-10,0.0229019385672833,0.0229019385662547,4.73852769378899e-14,0.0410970045118651,0.865590754289017,2.47296310165424e-07,0.134409245632457,0.958902995392388
"est.roost","est.loafing","est.foraging","se.roost","se.loafing","se.foraging","lower.roost","lower.loafing","lower.foraging","upper.roost","upper.loafing","upper.foraging"
"ID:X10376_2018",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X1521_2020",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X1553_2020",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X1561_2020",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
"ID:X1617_2020",0.205445598110747,0.255085915482289,0.539468486406964,0.164523895171951,0.253266630562024,0.197666986311995,0.0346227753079731,0.0245058877598363,0.197626664198363,0.650856652285481,0.823565555586912,0.847819501710602
