"mean","sd","0.025quant","0.975quant","WeatherCov","HabitatCov","CovName","Analysis"
-0.011,0.004,-0.019,-0.004,"WC_prev","BA.Z","BA.Z:WC_prev","Roosting"
0.015,0.013,-0.009,0.04,"SD","BA.Z","BA.Z:SD","Roosting"
-0.008,0.004,-0.015,-0.001,"WC_prev","DtFE.Z","DtFE.Z:WC_prev","Roosting"
0.009,0.011,-0.014,0.031,"SD","DtFE.Z","DtFE.Z:SD","Roosting"
-0.019,0.004,-0.026,-0.012,"WC_prev","SW.Z","SW.Z:WC_prev","Roosting"
0.019,0.011,-0.003,0.042,"SD","SW.Z","SW.Z:SD","Roosting"
0.003,0.005,-0.007,0.012,"WC_prev","Ht.Z","Ht.Z:WC_prev","Roosting"
-0.009,0.017,-0.041,0.024,"SD","Ht.Z","Ht.Z:SD","Roosting"
0.006,0.003,0,0.013,"WC_prev","Wind.Exp.Z","Wind.Exp.Z:WC_prev","Roosting"
0.007,0.011,-0.015,0.029,"SD","Wind.Exp.Z","Wind.Exp.Z:SD","Roosting"
0.003,0.003,-0.003,0.009,"WC_prev","BA.Z","BA.Z:WC_prev","Stationary"
-0.01,0.006,-0.022,0.003,"SD","BA.Z","BA.Z:SD","Stationary"
0,0.003,-0.007,0.007,"WC_prev","DtFE.Z","DtFE.Z:WC_prev","Stationary"
-0.012,0.008,-0.028,0.003,"SD","DtFE.Z","DtFE.Z:SD","Stationary"
0.008,0.003,0.002,0.015,"WC_prev","Ht.Z","Ht.Z:WC_prev","Stationary"
-0.004,0.007,-0.018,0.01,"SD","Ht.Z","Ht.Z:SD","Stationary"
-0.006,0.003,-0.012,-0.001,"WC_prev","Wind.Exp.Z","Wind.Exp.Z:WC_prev","Stationary"
-0.009,0.007,-0.022,0.004,"SD","Wind.Exp.Z","Wind.Exp.Z:SD","Stationary"
-0.005,0.006,-0.016,0.006,"WC_prev","PropAg.Z","PropAg.Z:WC_prev","Stationary"
0.018,0.008,0.003,0.033,"SD","PropAg.Z","PropAg.Z:SD","Stationary"
0,0.005,-0.009,0.008,"WC_prev","PropDev.Z","PropDev.Z:WC_prev","Stationary"
0.013,0.011,-0.009,0.034,"SD","PropDev.Z","PropDev.Z:SD","Stationary"
-0.005,0.004,-0.013,0.004,"WC_prev","PropSW.Z","PropSW.Z:WC_prev","Stationary"
-0.038,0.009,-0.056,-0.02,"SD","PropSW.Z","PropSW.Z:SD","Stationary"
-0.002,0.005,-0.011,0.007,"WC_prev","PropFoodSub.Z","PropFoodSub.Z:WC_prev","Stationary"
0.025,0.008,0.008,0.041,"SD","PropFoodSub.Z","PropFoodSub.Z:SD","Stationary"
0.002,0.001,-0.001,0.004,"WC_prev","DtFE.Z","DtFE.Z:WC_prev","Mobile"
-0.019,0.005,-0.029,-0.01,"SD","DtFE.Z","DtFE.Z:SD","Mobile"
0.001,0.001,-0.001,0.003,"WC_prev","Wind.Exp.Z","Wind.Exp.Z:WC_prev","Mobile"
0,0.004,-0.008,0.008,"SD","Wind.Exp.Z","Wind.Exp.Z:SD","Mobile"
0.005,0.001,0.002,0.007,"WC_prev","PropAg.Z","PropAg.Z:WC_prev","Mobile"
-0.014,0.004,-0.022,-0.005,"SD","PropAg.Z","PropAg.Z:SD","Mobile"
-0.003,0.001,-0.006,0,"WC_prev","PropDev.Z","PropDev.Z:WC_prev","Mobile"
0.02,0.006,0.008,0.031,"SD","PropDev.Z","PropDev.Z:SD","Mobile"
-0.001,0.001,-0.003,0.002,"WC_prev","PropSW.Z","PropSW.Z:WC_prev","Mobile"
-0.001,0.005,-0.01,0.008,"SD","PropSW.Z","PropSW.Z:SD","Mobile"
0.002,0.001,-0.001,0.004,"WC_prev","PropFoodSub.Z","PropFoodSub.Z:WC_prev","Mobile"
-0.002,0.005,-0.011,0.007,"SD","PropFoodSub.Z","PropFoodSub.Z:SD","Mobile"
