"Beh_State","LC_Cov","Weath_Cov","WAIC","DIC","MLik"
"Foraging","DtFE.Z","SD",83918.0802320477,83636.2110306289,-92084.862778164
"Foraging","PropDev.Z","SD",84007.1099662855,83761.9840470061,-92150.6885417328
"Foraging","PropFoodSub.Z","SD",84048.9280467845,83810.6968613295,-92172.3001889564
"Foraging","PropAg.Z","SD",84084.5923617353,83880.1899793883,-92203.7290563735
"Foraging","PropSW.Z","SD",84098.4440411252,83887.2494118338,-92205.1171828711
"Foraging","Wind.Exp.Z","SD",84134.9242795788,83960.6865206106,-92242.4679328682
"Foraging","DtFE.Z","WC_prev",83926.5111108061,83648.0506363287,-92093.6772309521
"Foraging","PropDev.Z","WC_prev",84014.5040006883,83772.7663896384,-92159.108974176
"Foraging","PropFoodSub.Z","WC_prev",84047.7583291781,83808.5452595165,-92174.6162259957
"Foraging","PropAg.Z","WC_prev",84087.3130270682,83883.6201655409,-92208.3867136632
"Foraging","PropSW.Z","WC_prev",84099.0295891018,83888.167659003,-92208.8414768329
"Foraging","Wind.Exp.Z","WC_prev",84135.7036767773,83961.0105496728,-92245.2886532425
