"mean","sd","0.025quant","0.975quant","WeatherCov","HabitatCov","CovName"
0.563,0.089,0.386,0.737,"WC_prev","BA.Z","BA.Z"
-0.118,0.913,-1.911,1.673,"WC_prev","BA.Z","WC_prev"
-0.919,0.041,-1,-0.84,"WC_prev","BA.Z","StepLength.Z"
0.004,0.002,-0.001,0.009,"WC_prev","BA.Z","BA.Z:WC_prev"
0.681,0.086,0.51,0.851,"SD","BA.Z","BA.Z"
-0.323,2.088,-4.422,3.772,"SD","BA.Z","SD"
-0.919,0.041,-1,-0.84,"SD","BA.Z","StepLength.Z"
-0.01,0.005,-0.02,0,"SD","BA.Z","BA.Z:SD"
0.089,0.117,-0.146,0.315,"WC_prev","DtFE.Z","DtFE.Z"
-0.113,0.913,-1.906,1.678,"WC_prev","DtFE.Z","WC_prev"
-1.044,0.042,-1.127,-0.963,"WC_prev","DtFE.Z","StepLength.Z"
0.005,0.003,0,0.011,"WC_prev","DtFE.Z","DtFE.Z:WC_prev"
0.29,0.108,0.074,0.499,"SD","DtFE.Z","DtFE.Z"
-0.316,2.088,-4.416,3.78,"SD","DtFE.Z","SD"
-1.042,0.042,-1.125,-0.961,"SD","DtFE.Z","StepLength.Z"
-0.021,0.007,-0.034,-0.008,"SD","DtFE.Z","DtFE.Z:SD"
0.318,0.105,0.113,0.53,"WC_prev","Ht.Z","Ht.Z"
-0.117,0.913,-1.91,1.674,"WC_prev","Ht.Z","WC_prev"
-0.971,0.041,-1.052,-0.892,"WC_prev","Ht.Z","StepLength.Z"
0.011,0.003,0.005,0.016,"WC_prev","Ht.Z","Ht.Z:WC_prev"
0.478,0.104,0.276,0.688,"SD","Ht.Z","Ht.Z"
-0.325,2.088,-4.424,3.771,"SD","Ht.Z","SD"
-0.973,0.041,-1.055,-0.894,"SD","Ht.Z","StepLength.Z"
-0.003,0.006,-0.015,0.008,"SD","Ht.Z","Ht.Z:SD"
-0.036,0.056,-0.148,0.071,"WC_prev","Wind.Exp.Z","Wind.Exp.Z"
-0.111,0.913,-1.904,1.68,"WC_prev","Wind.Exp.Z","WC_prev"
-1.033,0.041,-1.115,-0.954,"WC_prev","Wind.Exp.Z","StepLength.Z"
-0.005,0.002,-0.009,0,"WC_prev","Wind.Exp.Z","Wind.Exp.Z:WC_prev"
-0.08,0.058,-0.198,0.033,"SD","Wind.Exp.Z","Wind.Exp.Z"
-0.311,2.088,-4.411,3.784,"SD","Wind.Exp.Z","SD"
-1.032,0.041,-1.114,-0.953,"SD","Wind.Exp.Z","StepLength.Z"
-0.003,0.005,-0.014,0.008,"SD","Wind.Exp.Z","Wind.Exp.Z:SD"
-0.862,0.27,-1.471,-0.405,"WC_prev","PropAg.Z","PropAg.Z"
-0.121,0.913,-1.913,1.67,"WC_prev","PropAg.Z","WC_prev"
-1.018,0.041,-1.1,-0.938,"WC_prev","PropAg.Z","StepLength.Z"
-0.006,0.004,-0.014,0.003,"WC_prev","PropAg.Z","PropAg.Z:WC_prev"
-0.975,0.257,-1.56,-0.548,"SD","PropAg.Z","PropAg.Z"
-0.332,2.088,-4.431,3.764,"SD","PropAg.Z","SD"
-1.018,0.041,-1.1,-0.938,"SD","PropAg.Z","StepLength.Z"
0.014,0.006,0.002,0.026,"SD","PropAg.Z","PropAg.Z:SD"
-0.495,0.135,-0.777,-0.243,"WC_prev","PropDev.Z","PropDev.Z"
-0.118,0.913,-1.911,1.673,"WC_prev","PropDev.Z","WC_prev"
-1.024,0.042,-1.107,-0.944,"WC_prev","PropDev.Z","StepLength.Z"
-0.007,0.004,-0.014,0.001,"WC_prev","PropDev.Z","PropDev.Z:WC_prev"
-0.678,0.144,-0.978,-0.409,"SD","PropDev.Z","PropDev.Z"
-0.324,2.088,-4.423,3.772,"SD","PropDev.Z","SD"
-1.025,0.042,-1.107,-0.944,"SD","PropDev.Z","StepLength.Z"
0.016,0.01,-0.004,0.036,"SD","PropDev.Z","PropDev.Z:SD"
0.439,0.122,0.194,0.679,"WC_prev","PropSW.Z","PropSW.Z"
-0.117,0.913,-1.91,1.674,"WC_prev","PropSW.Z","WC_prev"
-1.024,0.042,-1.106,-0.943,"WC_prev","PropSW.Z","StepLength.Z"
-0.005,0.003,-0.012,0.002,"WC_prev","PropSW.Z","PropSW.Z:WC_prev"
0.528,0.119,0.29,0.761,"SD","PropSW.Z","PropSW.Z"
-0.333,2.088,-4.432,3.762,"SD","PropSW.Z","SD"
-1.025,0.042,-1.107,-0.944,"SD","PropSW.Z","StepLength.Z"
-0.023,0.008,-0.039,-0.008,"SD","PropSW.Z","PropSW.Z:SD"
-0.523,0.139,-0.803,-0.252,"WC_prev","PropFoodSub.Z","PropFoodSub.Z"
-0.12,0.913,-1.912,1.671,"WC_prev","PropFoodSub.Z","WC_prev"
-1.01,0.042,-1.093,-0.93,"WC_prev","PropFoodSub.Z","StepLength.Z"
-0.008,0.004,-0.015,0,"WC_prev","PropFoodSub.Z","PropFoodSub.Z:WC_prev"
-0.766,0.131,-1.032,-0.513,"SD","PropFoodSub.Z","PropFoodSub.Z"
-0.325,2.088,-4.424,3.771,"SD","PropFoodSub.Z","SD"
-1.011,0.042,-1.094,-0.93,"SD","PropFoodSub.Z","StepLength.Z"
0.023,0.007,0.008,0.037,"SD","PropFoodSub.Z","PropFoodSub.Z:SD"
