,1 ? 2,,,1 ? 3,,,2 ? 1,,,2 ? 3,,,3 ? 1,,,3 ? 2,,
ID,Estimate,LCL,UCL,Estimate,LCL,UCL,Estimate,LCL,UCL,Estimate,LCL,UCL,Estimate,LCL,UCL,Estimate,LCL,UCL
(Intercept),1.034,-0.998,3.067,-33.415,-42.962,-23.868,-50.738,-58.853,-42.623,-2.887,-3.495,-2.279,-10.313,-14.296,-6.331,-1.882,-2.469,-1.294
WC.Z,0.366,0.205,0.526,1.034,0.805,1.264,-0.145,-0.365,0.074,0.185,0.075,0.296,-0.621,-0.872,-0.369,-0.402,-0.525,-0.279
SD.Z,0.478,0.327,0.628,0.323,0.105,0.541,-0.405,-0.595,-0.214,-0.232,-0.340,-0.125,-1.424,-1.789,-1.060,0.276,0.159,0.393
IDX1521_2020,3.858,1.793,5.924,-0.777,-14.870,13.316,0.681,-12.136,13.497,1.374,-0.609,3.357,-2.095,-9.281,5.092,-1.950,-9.993,6.094
IDX1553_2020,-1.174,-2.117,-0.231,-0.828,-1.903,0.246,1.499,-1.081,4.080,2.011,1.118,2.904,2.379,0.622,4.137,-0.995,-1.868,-0.121
IDX1561_2020,-0.098,-1.572,1.375,2.044,0.757,3.331,-3.944,-7.272,-0.615,0.160,-0.843,1.162,-2.104,-5.414,1.206,-1.056,-2.123,0.011
IDX1617_2020,1.432,0.004,2.861,2.257,0.733,3.780,-4.505,-11.731,2.720,1.663,0.331,2.996,-2.526,-6.713,1.660,-2.218,-4.511,0.076
IDX1626_2020,3.863,1.802,5.924,-1.145,-14.388,12.098,-1.503,-4.966,1.959,0.855,-0.737,2.448,-2.046,-10.137,6.045,-0.662,-2.895,1.572
IDX251_2019,-4.566,-6.454,-2.679,-0.359,-1.389,0.671,-1.170,-2.400,0.060,0.015,-0.649,0.679,4.785,2.564,7.005,0.692,0.051,1.334
IDX280_2018,-0.010,-1.214,1.195,0.382,-0.948,1.712,-0.883,-2.568,0.802,-0.311,-1.290,0.668,-1.773,-5.456,1.909,-0.308,-1.235,0.619
IDX280_2019,-1.631,-2.547,-0.714,-2.821,-4.224,-1.418,-3.086,-4.440,-1.732,-0.158,-0.773,0.457,4.039,2.191,5.887,-0.643,-1.346,0.060
IDX286_2018,1.654,0.204,3.104,0.320,-2.229,2.870,-0.927,-2.564,0.710,-1.795,-2.942,-0.648,-0.657,-10.382,9.068,1.023,-0.548,2.595
IDX286_2019,-1.821,-2.765,-0.878,-2.724,-4.007,-1.442,0.978,-0.513,2.468,0.527,-0.145,1.199,4.248,1.846,6.650,0.243,-0.464,0.950
IDX355_2018,0.530,-0.678,1.739,0.381,-1.096,1.859,-0.793,-2.622,1.036,-0.163,-1.143,0.817,-1.332,-4.816,2.152,-0.809,-1.957,0.339
IDX361_2018,0.480,-0.739,1.698,0.489,-0.964,1.943,-1.003,-2.715,0.708,0.254,-0.699,1.206,-1.230,-4.773,2.312,0.042,-0.855,0.938
IDX375_2019,-1.209,-2.101,-0.316,-1.648,-2.793,-0.503,-0.730,-2.169,0.709,1.155,0.478,1.832,3.527,1.717,5.337,-0.568,-1.279,0.144
IDX387_2019,-0.485,-1.401,0.430,-3.575,-5.751,-1.398,-0.308,-1.667,1.051,-0.305,-0.948,0.338,2.655,0.714,4.596,-0.676,-1.413,0.062
IDX398_2019,0.319,-0.619,1.258,-0.834,-2.195,0.526,-1.181,-2.427,0.064,-0.095,-0.741,0.551,4.210,1.730,6.690,0.424,-0.266,1.114
IDX409_2020,-1.602,-2.520,-0.684,-1.637,-2.714,-0.560,-1.912,-3.354,-0.469,1.723,0.996,2.449,3.163,1.398,4.927,-0.937,-1.701,-0.174
IDX410_2020,-1.488,-2.393,-0.583,-1.647,-2.723,-0.571,1.911,-9.763,13.584,1.555,0.763,2.348,2.838,1.108,4.568,-6.135,-13.473,1.204
