"mean","sd","0.025quant","0.975quant","WeatherCov","HabitatCov","CovName"
-0.228,0.07,-0.364,-0.087,"WC_prev","DtFE.Z","DtFE.Z"
-0.122,0.531,-1.165,0.919,"WC_prev","DtFE.Z","WC_prev"
0.137,0.01,0.117,0.157,"WC_prev","DtFE.Z","StepLength.Z"
0.002,0.001,-0.001,0.005,"WC_prev","DtFE.Z","DtFE.Z:WC_prev"
-0.13,0.068,-0.262,0.006,"SD","DtFE.Z","DtFE.Z"
-0.76,3.075,-6.797,5.272,"SD","DtFE.Z","SD"
0.137,0.01,0.117,0.157,"SD","DtFE.Z","StepLength.Z"
-0.022,0.006,-0.033,-0.01,"SD","DtFE.Z","DtFE.Z:SD"
0.011,0.025,-0.039,0.06,"WC_prev","Wind.Exp.Z","Wind.Exp.Z"
-0.122,0.531,-1.165,0.92,"WC_prev","Wind.Exp.Z","WC_prev"
0.124,0.01,0.104,0.144,"WC_prev","Wind.Exp.Z","StepLength.Z"
0.001,0.001,-0.001,0.003,"WC_prev","Wind.Exp.Z","Wind.Exp.Z:WC_prev"
0.02,0.022,-0.022,0.062,"SD","Wind.Exp.Z","Wind.Exp.Z"
-0.746,3.075,-6.783,5.286,"SD","Wind.Exp.Z","SD"
0.124,0.01,0.104,0.144,"SD","Wind.Exp.Z","StepLength.Z"
0.002,0.004,-0.007,0.011,"SD","Wind.Exp.Z","Wind.Exp.Z:SD"
-0.248,0.078,-0.417,-0.111,"WC_prev","PropAg.Z","PropAg.Z"
-0.125,0.531,-1.167,0.917,"WC_prev","PropAg.Z","WC_prev"
0.127,0.01,0.107,0.147,"WC_prev","PropAg.Z","StepLength.Z"
0.005,0.001,0.002,0.007,"WC_prev","PropAg.Z","PropAg.Z:WC_prev"
-0.112,0.078,-0.284,0.024,"SD","PropAg.Z","PropAg.Z"
-0.764,3.075,-6.801,5.268,"SD","PropAg.Z","SD"
0.128,0.01,0.107,0.148,"SD","PropAg.Z","StepLength.Z"
-0.021,0.005,-0.032,-0.011,"SD","PropAg.Z","PropAg.Z:SD"
-0.128,0.135,-0.406,0.128,"WC_prev","PropDev.Z","PropDev.Z"
-0.125,0.531,-1.167,0.917,"WC_prev","PropDev.Z","WC_prev"
0.137,0.01,0.117,0.157,"WC_prev","PropDev.Z","StepLength.Z"
-0.002,0.002,-0.005,0.001,"WC_prev","PropDev.Z","PropDev.Z:WC_prev"
-0.251,0.135,-0.53,0.007,"SD","PropDev.Z","PropDev.Z"
-0.753,3.075,-6.79,5.278,"SD","PropDev.Z","SD"
0.138,0.01,0.117,0.158,"SD","PropDev.Z","StepLength.Z"
0.023,0.006,0.01,0.035,"SD","PropDev.Z","PropDev.Z:SD"
-0.044,0.05,-0.142,0.055,"WC_prev","PropSW.Z","PropSW.Z"
-0.122,0.531,-1.164,0.92,"WC_prev","PropSW.Z","WC_prev"
0.125,0.01,0.105,0.145,"WC_prev","PropSW.Z","StepLength.Z"
0,0.001,-0.002,0.003,"WC_prev","PropSW.Z","PropSW.Z:WC_prev"
-0.024,0.047,-0.117,0.068,"SD","PropSW.Z","PropSW.Z"
-0.748,3.075,-6.785,5.284,"SD","PropSW.Z","SD"
0.125,0.01,0.105,0.145,"SD","PropSW.Z","StepLength.Z"
-0.006,0.005,-0.016,0.005,"SD","PropSW.Z","PropSW.Z:SD"
-0.069,0.077,-0.225,0.079,"WC_prev","PropFoodSub.Z","PropFoodSub.Z"
-0.122,0.531,-1.164,0.92,"WC_prev","PropFoodSub.Z","WC_prev"
0.134,0.01,0.114,0.154,"WC_prev","PropFoodSub.Z","StepLength.Z"
0.002,0.001,-0.001,0.004,"WC_prev","PropFoodSub.Z","PropFoodSub.Z:WC_prev"
-0.025,0.074,-0.175,0.118,"SD","PropFoodSub.Z","PropFoodSub.Z"
-0.735,3.075,-6.771,5.297,"SD","PropFoodSub.Z","SD"
0.134,0.01,0.114,0.155,"SD","PropFoodSub.Z","StepLength.Z"
-0.003,0.005,-0.014,0.007,"SD","PropFoodSub.Z","PropFoodSub.Z:SD"
