"Beh_State","LC_Cov","Weath_Cov","WAIC","DIC","MLik"
"Loafing","BA.Z","SD",32431.2991962547,31938.4784890396,-36011.3772754558
"Loafing","Ht.Z","SD",32588.5748671243,32216.389252649,-36151.1394603102
"Loafing","PropFoodSub.Z","SD",32575.3780231741,32233.5354121255,-36158.2928839241
"Loafing","PropDev.Z","SD",32652.3776693804,32346.6351709089,-36213.028885253
"Loafing","PropAg.Z","SD",7.11666990359935e+39,32348.480355804,-36211.7477376344
"Loafing","DtFE.Z","SD",32871.6801146613,32350.290457847,-36217.363605906
"Loafing","PropSW.Z","SD",32664.0119356089,32365.0572874852,-36222.4426668733
"Loafing","Wind.Exp.Z","SD",32724.010699776,32455.1833800323,-36267.3956997626
"Loafing","BA.Z","WC_prev",32431.5719479388,31938.7113764312,-36013.5102406119
"Loafing","Ht.Z","WC_prev",32589.962777462,32199.7731200572,-36144.8153780049
"Loafing","PropFoodSub.Z","WC_prev",32578.1115753453,32237.0365512969,-36162.3634705114
"Loafing","PropDev.Z","WC_prev",32652.7526928458,32345.798275423,-36214.5640130475
"Loafing","PropAg.Z","WC_prev",2.92872556183081e+40,32352.6597387844,-36214.3424852402
"Loafing","DtFE.Z","WC_prev",33151.9832784543,32355.9638025701,-36222.705251873
"Loafing","PropSW.Z","WC_prev",32667.7513671359,32371.0327053035,-36227.6603117741
"Loafing","Wind.Exp.Z","WC_prev",32721.2293558284,32451.3383163874,-36267.1732340769
