"Beh_State","LC_Cov","Weath_Cov","WAIC","DIC","MLik"
"Mobile","DtFE.Z","SD",71297.9268500922,70432.3134314226,-82379.8819257006
"Mobile","BA.Z","SD",71506.7255969292,70640.9824535919,-82447.8282950895
"Mobile","SW.Z","SD",71620.1956123056,70751.4068978177,-82504.5419570388
"Mobile","PropDev.Z","SD",71775.6178182508,70911.2574855851,-82586.3801832248
"Mobile","PropFoodSub.Z","SD",71793.1217145545,70927.1578276681,-82593.012390159
"Mobile","PropSW.Z","SD",71902.8902273106,71033.0414755764,-82639.4647370116
"Mobile","PropAg.Z","SD",71913.1315767315,71050.8746504269,-82643.9645930934
"Mobile","Wind.Exp.Z","SD",72055.4512903482,71195.2343808542,-82699.2214005126
"Mobile","DtFE.Z","WC",71308.4975275703,70443.0097765379,-82378.9931782878
"Mobile","BA.Z","WC",71507.1992018347,70641.3371630894,-82445.8560006223
"Mobile","SW.Z","WC",71620.130786477,70751.1826995889,-82502.42882429
"Mobile","PropDev.Z","WC",71783.9117321918,70919.5436015406,-82587.7384414047
"Mobile","PropFoodSub.Z","WC",71790.7323868672,70924.5649774933,-82589.5600811073
"Mobile","PropSW.Z","WC",71904.8547687061,71035.0645767978,-82637.4852167856
"Mobile","PropAg.Z","WC",71912.347667162,71050.2787501461,-82639.1500256858
"Mobile","Wind.Exp.Z","WC",72055.1400859721,71194.8249165895,-82696.5213536824
