"Beh_State","LC_Cov","Weath_Cov","WAIC","DIC","MLik"
"Roosting","BA.Z","SD",8754.55353011785,8404.6429152975,-9715.75419203886
"Roosting","Ht.Z","SD",3799760.22314123,8481.54373526296,-9753.53714302318
"Roosting","SW.Z","SD",9021.48870160227,8867.81285563819,-9945.7671897361
"Roosting","DtFE.Z","SD",9953.70542648497,8908.79944520445,-9973.91400554859
"Roosting","Wind.Exp.Z","SD",9216.48744130776,9185.75853701243,-10104.6203209585
"Roosting","BA.Z","WC_prev",8752.63472468872,8402.3179254792,-9716.86965570538
"Roosting","Ht.Z","WC_prev",4531060.00483152,8481.34104384107,-9756.02817044832
"Roosting","SW.Z","WC_prev",9018.35216067731,8858.29387574426,-9943.41723436018
"Roosting","DtFE.Z","WC_prev",10514.9083532928,8906.36603859569,-9974.49879521053
"Roosting","Wind.Exp.Z","WC_prev",9216.84458794347,9185.52191776203,-10106.9084151112
