"mean","sd","0.025quant","0.975quant","WeatherCov","HabitatCov","CovName"
1.34,0.156,1.033,1.648,"WC_prev","BA.Z","BA.Z"
-0.125,1.567,-3.202,2.949,"WC_prev","BA.Z","WC_prev"
0.125,0.035,0.055,0.193,"WC_prev","BA.Z","StepLength.Z"
-0.01,0.004,-0.019,-0.002,"WC_prev","BA.Z","BA.Z:WC_prev"
1.075,0.145,0.787,1.36,"SD","BA.Z","BA.Z"
-0.422,5.775,-11.759,10.907,"SD","BA.Z","SD"
0.122,0.035,0.053,0.19,"SD","BA.Z","StepLength.Z"
0.023,0.014,-0.005,0.051,"SD","BA.Z","BA.Z:SD"
0.606,0.21,0.193,1.023,"WC_prev","DtFE.Z","DtFE.Z"
-0.11,1.567,-3.187,2.965,"WC_prev","DtFE.Z","WC_prev"
0.119,0.033,0.053,0.182,"WC_prev","DtFE.Z","StepLength.Z"
-0.008,0.004,-0.015,0,"WC_prev","DtFE.Z","DtFE.Z:WC_prev"
0.442,0.206,0.034,0.851,"SD","DtFE.Z","DtFE.Z"
-0.348,5.775,-11.686,10.98,"SD","DtFE.Z","SD"
0.116,0.033,0.051,0.179,"SD","DtFE.Z","StepLength.Z"
0.008,0.01,-0.013,0.028,"SD","DtFE.Z","DtFE.Z:SD"
0.933,0.12,0.695,1.169,"WC_prev","SW.Z","SW.Z"
-0.11,1.567,-3.187,2.964,"WC_prev","SW.Z","WC_prev"
0.119,0.033,0.054,0.182,"WC_prev","SW.Z","StepLength.Z"
-0.013,0.004,-0.021,-0.005,"WC_prev","SW.Z","SW.Z:WC_prev"
0.656,0.111,0.433,0.871,"SD","SW.Z","SW.Z"
-0.378,5.774,-11.715,10.95,"SD","SW.Z","SD"
0.113,0.032,0.049,0.176,"SD","SW.Z","StepLength.Z"
0.014,0.012,-0.01,0.039,"SD","SW.Z","SW.Z:SD"
1.439,0.234,0.98,1.904,"WC_prev","Ht.Z","Ht.Z"
-0.135,1.567,-3.212,2.939,"WC_prev","Ht.Z","WC_prev"
0.155,0.034,0.087,0.221,"WC_prev","Ht.Z","StepLength.Z"
0.001,0.006,-0.011,0.012,"WC_prev","Ht.Z","Ht.Z:WC_prev"
1.429,0.222,0.993,1.871,"SD","Ht.Z","Ht.Z"
-0.44,5.775,-11.778,10.888,"SD","Ht.Z","SD"
0.155,0.034,0.087,0.221,"SD","Ht.Z","StepLength.Z"
0.006,0.018,-0.029,0.042,"SD","Ht.Z","Ht.Z:SD"
-0.068,0.094,-0.259,0.111,"WC_prev","Wind.Exp.Z","Wind.Exp.Z"
-0.108,1.567,-3.185,2.967,"WC_prev","Wind.Exp.Z","WC_prev"
0.144,0.031,0.084,0.204,"WC_prev","Wind.Exp.Z","StepLength.Z"
0.003,0.003,-0.004,0.01,"WC_prev","Wind.Exp.Z","Wind.Exp.Z:WC_prev"
-0.046,0.081,-0.209,0.112,"SD","Wind.Exp.Z","Wind.Exp.Z"
-0.354,5.775,-11.692,10.974,"SD","Wind.Exp.Z","SD"
0.144,0.031,0.083,0.203,"SD","Wind.Exp.Z","StepLength.Z"
0.007,0.011,-0.014,0.028,"SD","Wind.Exp.Z","Wind.Exp.Z:SD"
