"Beh_State","LC_Cov","Weath_Cov","WAIC","DIC","MLik"
"Stationary","BA.Z","SD",18842.8967656846,18381.7393907229,-21116.1407094831
"Stationary","Ht.Z","SD",19007.5313330473,18522.9414644093,-21188.3087816345
"Stationary","PropFoodSub.Z","SD",18958.5519977344,18601.405834006,-21225.5478885839
"Stationary","PropDev.Z","SD",18962.939810867,18652.093678663,-21250.5587854032
"Stationary","PropSW.Z","SD",18968.3321550032,18658.9427620192,-21253.3445806162
"Stationary","PropAg.Z","SD",2.61148417991464e+31,18659.1860071444,-21251.8563105645
"Stationary","DtFE.Z","SD",18977.4509649548,18663.0384835917,-21256.4701763896
"Stationary","Wind.Exp.Z","SD",18991.3801848493,18693.1996514141,-21272.5490980957
"Stationary","BA.Z","WC_prev",18843.4212161422,18382.3817647685,-21117.9657124931
"Stationary","Ht.Z","WC_prev",18989.4322388529,18520.5782672115,-21188.7721962581
"Stationary","PropFoodSub.Z","WC_prev",19207.1751250933,18606.8239065515,-21229.8392067946
"Stationary","PropDev.Z","WC_prev",18964.8432962151,18653.251566303,-21252.3758311675
"Stationary","PropAg.Z","WC_prev",6.43753522402876e+35,18666.7822548923,-21255.4738535746
"Stationary","DtFE.Z","WC_prev",18981.910197673,18668.5846210327,-21261.1161508334
"Stationary","PropSW.Z","WC_prev",18976.4382894075,18671.332771538,-21261.165267742
"Stationary","Wind.Exp.Z","WC_prev",18990.712265627,18692.1893929065,-21273.7463986972
