"Beh_State","LC_Cov","Weath_Cov","WAIC","DIC","MLik"
"Foraging","DtFE.Z","SD",97288.8038322684,96118.373014388,-111932.051501237
"Foraging","PropDev.Z","SD",97414.6633828117,96245.9749055758,-111996.046930631
"Foraging","PropFoodSub.Z","SD",97446.9779575791,96276.4333586335,-112005.025683834
"Foraging","PropSW.Z","SD",97541.5910824593,96368.9391575777,-112047.846306903
"Foraging","PropAg.Z","SD",97543.9709613257,96376.8447556888,-112049.830144544
"Foraging","Wind.Exp.Z","SD",97670.5842598373,96506.5032260405,-112097.282592887
"Foraging","DtFE.Z","WC_prev",97303.4410863887,96133.5810714942,-111941.717220059
"Foraging","PropDev.Z","WC_prev",97417.8124750553,96249.2590691056,-112000.271258564
"Foraging","PropFoodSub.Z","WC_prev",97445.5827603565,96274.6588517314,-112006.935975476
"Foraging","PropSW.Z","WC_prev",97541.8790280658,96369.1706637181,-112050.712009967
"Foraging","PropAg.Z","WC_prev",97537.9796605497,96370.9991168597,-112049.442085844
"Foraging","Wind.Exp.Z","WC_prev",97669.8345946517,96505.5281442764,-112100.011759678
