"mean","sd","0.025quant","0.975quant","WeatherCov","HabitatCov","CovName"
-0.195,0.067,-0.327,-0.061,"WC_prev","DtFE.Z","DtFE.Z"
-0.121,0.492,-1.087,0.843,"WC_prev","DtFE.Z","WC_prev"
0.059,0.01,0.039,0.079,"WC_prev","DtFE.Z","StepLength.Z"
0.002,0.001,-0.001,0.004,"WC_prev","DtFE.Z","DtFE.Z:WC_prev"
-0.102,0.065,-0.23,0.03,"SD","DtFE.Z","DtFE.Z"
-0.486,2.062,-4.535,3.56,"SD","DtFE.Z","SD"
0.06,0.01,0.04,0.079,"SD","DtFE.Z","StepLength.Z"
-0.018,0.004,-0.026,-0.009,"SD","DtFE.Z","DtFE.Z:SD"
-0.004,0.026,-0.056,0.045,"WC_prev","Wind.Exp.Z","Wind.Exp.Z"
-0.121,0.492,-1.087,0.843,"WC_prev","Wind.Exp.Z","WC_prev"
0.047,0.01,0.027,0.066,"WC_prev","Wind.Exp.Z","StepLength.Z"
0.001,0.001,-0.001,0.003,"WC_prev","Wind.Exp.Z","Wind.Exp.Z:WC_prev"
0.016,0.022,-0.029,0.059,"SD","Wind.Exp.Z","Wind.Exp.Z"
-0.479,2.063,-4.528,3.567,"SD","Wind.Exp.Z","SD"
0.047,0.01,0.027,0.066,"SD","Wind.Exp.Z","StepLength.Z"
-0.002,0.004,-0.01,0.005,"SD","Wind.Exp.Z","Wind.Exp.Z:SD"
-0.371,0.1,-0.593,-0.199,"WC_prev","PropAg.Z","PropAg.Z"
-0.125,0.492,-1.091,0.839,"WC_prev","PropAg.Z","WC_prev"
0.052,0.01,0.032,0.072,"WC_prev","PropAg.Z","StepLength.Z"
0.004,0.001,0.002,0.007,"WC_prev","PropAg.Z","PropAg.Z:WC_prev"
-0.263,0.099,-0.484,-0.095,"SD","PropAg.Z","PropAg.Z"
-0.495,2.062,-4.544,3.551,"SD","PropAg.Z","SD"
0.052,0.01,0.032,0.072,"SD","PropAg.Z","StepLength.Z"
-0.01,0.004,-0.017,-0.002,"SD","PropAg.Z","PropAg.Z:SD"
-0.217,0.131,-0.487,0.031,"WC_prev","PropDev.Z","PropDev.Z"
-0.124,0.492,-1.09,0.84,"WC_prev","PropDev.Z","WC_prev"
0.061,0.01,0.041,0.08,"WC_prev","PropDev.Z","StepLength.Z"
-0.002,0.001,-0.005,0.001,"WC_prev","PropDev.Z","PropDev.Z:WC_prev"
-0.293,0.131,-0.564,-0.044,"SD","PropDev.Z","PropDev.Z"
-0.477,2.063,-4.527,3.569,"SD","PropDev.Z","SD"
0.061,0.01,0.041,0.08,"SD","PropDev.Z","StepLength.Z"
0.011,0.005,0.001,0.022,"SD","PropDev.Z","PropDev.Z:SD"
-0.003,0.048,-0.098,0.092,"WC_prev","PropSW.Z","PropSW.Z"
-0.122,0.492,-1.087,0.843,"WC_prev","PropSW.Z","WC_prev"
0.05,0.01,0.03,0.07,"WC_prev","PropSW.Z","StepLength.Z"
0,0.001,-0.003,0.002,"WC_prev","PropSW.Z","PropSW.Z:WC_prev"
0,0.046,-0.091,0.09,"SD","PropSW.Z","PropSW.Z"
-0.485,2.063,-4.534,3.561,"SD","PropSW.Z","SD"
0.05,0.01,0.03,0.07,"SD","PropSW.Z","StepLength.Z"
-0.003,0.004,-0.011,0.005,"SD","PropSW.Z","PropSW.Z:SD"
-0.143,0.066,-0.277,-0.015,"WC_prev","PropFoodSub.Z","PropFoodSub.Z"
-0.121,0.492,-1.087,0.843,"WC_prev","PropFoodSub.Z","WC_prev"
0.059,0.01,0.04,0.079,"WC_prev","PropFoodSub.Z","StepLength.Z"
0.002,0.001,-0.001,0.004,"WC_prev","PropFoodSub.Z","PropFoodSub.Z:WC_prev"
-0.1,0.064,-0.23,0.024,"SD","PropFoodSub.Z","PropFoodSub.Z"
-0.474,2.062,-4.523,3.572,"SD","PropFoodSub.Z","SD"
0.059,0.01,0.04,0.079,"SD","PropFoodSub.Z","StepLength.Z"
-0.003,0.004,-0.011,0.005,"SD","PropFoodSub.Z","PropFoodSub.Z:SD"
