"Beh_State","LC_Cov","Weath_Cov","WAIC","DIC","MLik"
"Loafing","BA.Z","SD",13599.5963404304,13433.5739009758,-16413.3844755407
"Loafing","Ht.Z","SD",13729.1650320993,13576.9951313026,-16485.2942507324
"Loafing","PropSW.Z","SD",13769.1622104895,13621.8332940784,-16502.9236803959
"Loafing","PropFoodSub.Z","SD",13801.1437273389,13657.9932997255,-16522.4143945361
"Loafing","DtFE.Z","SD",13828.9484912033,13671.4553512706,-16528.1355588993
"Loafing","PropDev.Z","SD",51752.9217780983,13715.6948301875,-16545.759726983
"Loafing","Wind.Exp.Z","SD",13913.2014563394,13779.1004645715,-16571.2155858005
"Loafing","PropAg.Z","SD",1.84308301949721e+52,675911702116.626,-16549.711841651
"Loafing","BA.Z","WC_prev",13593.3937451938,13427.1462504112,-16412.4341636485
"Loafing","Ht.Z","WC_prev",13722.4618432783,13570.1843401349,-16484.5942358557
"Loafing","PropSW.Z","WC_prev",13764.5882570763,13617.7233822331,-16504.0479845532
"Loafing","PropFoodSub.Z","WC_prev",13800.6934016211,13657.5823693482,-16523.6457201205
"Loafing","DtFE.Z","WC_prev",13836.1144767498,13669.5371166232,-16530.4178414117
"Loafing","PropDev.Z","WC_prev",14071.109507257,13715.812409333,-16547.0295893427
"Loafing","Wind.Exp.Z","WC_prev",13914.1817485843,13779.5538904696,-16573.4901248681
"Loafing","PropAg.Z","WC_prev",1.65467863722019e+51,353876581230.381,-16550.5598492576
