"mean","sd","0.025quant","0.975quant","WeatherCov","HabitatCov","CovName"
0.747,0.145,0.462,1.033,"WC_prev","BA.Z","BA.Z"
-0.16,1.504,-3.113,2.79,"WC_prev","BA.Z","WC_prev"
-1.625,0.091,-1.808,-1.45,"WC_prev","BA.Z","StepLength.Z"
0.01,0.005,0.001,0.019,"WC_prev","BA.Z","BA.Z:WC_prev"
0.9,0.147,0.61,1.189,"SD","BA.Z","BA.Z"
-0.283,2.646,-5.479,4.908,"SD","BA.Z","SD"
-1.621,0.091,-1.803,-1.446,"SD","BA.Z","StepLength.Z"
-0.005,0.01,-0.023,0.014,"SD","BA.Z","BA.Z:SD"
0.345,0.144,0.051,0.618,"WC_prev","DtFE.Z","DtFE.Z"
-0.148,1.504,-3.1,2.802,"WC_prev","DtFE.Z","WC_prev"
-1.929,0.096,-2.121,-1.745,"WC_prev","DtFE.Z","StepLength.Z"
0.001,0.005,-0.009,0.011,"WC_prev","DtFE.Z","DtFE.Z:WC_prev"
0.475,0.143,0.182,0.744,"SD","DtFE.Z","DtFE.Z"
-0.27,2.646,-5.466,4.921,"SD","DtFE.Z","SD"
-1.922,0.096,-2.114,-1.737,"SD","DtFE.Z","StepLength.Z"
-0.015,0.011,-0.037,0.007,"SD","DtFE.Z","DtFE.Z:SD"
0.56,0.159,0.252,0.88,"WC_prev","Ht.Z","Ht.Z"
-0.156,1.504,-3.109,2.794,"WC_prev","Ht.Z","WC_prev"
-1.699,0.09,-1.879,-1.526,"WC_prev","Ht.Z","StepLength.Z"
0.011,0.005,0.001,0.021,"WC_prev","Ht.Z","Ht.Z:WC_prev"
0.744,0.155,0.442,1.054,"SD","Ht.Z","Ht.Z"
-0.279,2.646,-5.475,4.912,"SD","Ht.Z","SD"
-1.701,0.09,-1.881,-1.528,"SD","Ht.Z","StepLength.Z"
-0.009,0.01,-0.029,0.011,"SD","Ht.Z","Ht.Z:SD"
-0.002,0.071,-0.146,0.134,"WC_prev","Wind.Exp.Z","Wind.Exp.Z"
-0.144,1.504,-3.097,2.806,"WC_prev","Wind.Exp.Z","WC_prev"
-1.804,0.091,-1.986,-1.63,"WC_prev","Wind.Exp.Z","StepLength.Z"
-0.007,0.004,-0.014,0.001,"WC_prev","Wind.Exp.Z","Wind.Exp.Z:WC_prev"
0.045,0.076,-0.108,0.19,"SD","Wind.Exp.Z","Wind.Exp.Z"
-0.266,2.646,-5.462,4.926,"SD","Wind.Exp.Z","SD"
-1.799,0.09,-1.98,-1.625,"SD","Wind.Exp.Z","StepLength.Z"
-0.017,0.008,-0.033,-0.002,"SD","Wind.Exp.Z","Wind.Exp.Z:SD"
-0.653,0.247,-1.215,-0.238,"WC_prev","PropAg.Z","PropAg.Z"
-0.148,1.504,-3.101,2.802,"WC_prev","PropAg.Z","WC_prev"
-1.781,0.091,-1.963,-1.606,"WC_prev","PropAg.Z","StepLength.Z"
0.005,0.007,-0.009,0.02,"WC_prev","PropAg.Z","PropAg.Z:WC_prev"
-0.623,0.242,-1.17,-0.209,"SD","PropAg.Z","PropAg.Z"
-0.274,2.646,-5.47,4.917,"SD","PropAg.Z","SD"
-1.779,0.091,-1.961,-1.604,"SD","PropAg.Z","StepLength.Z"
0.005,0.012,-0.019,0.028,"SD","PropAg.Z","PropAg.Z:SD"
-0.584,0.2,-1.008,-0.216,"WC_prev","PropDev.Z","PropDev.Z"
-0.153,1.504,-3.106,2.797,"WC_prev","PropDev.Z","WC_prev"
-1.803,0.092,-1.987,-1.626,"WC_prev","PropDev.Z","StepLength.Z"
-0.004,0.007,-0.017,0.009,"WC_prev","PropDev.Z","PropDev.Z:WC_prev"
-0.597,0.207,-1.029,-0.21,"SD","PropDev.Z","PropDev.Z"
-0.281,2.646,-5.476,4.91,"SD","PropDev.Z","SD"
-1.804,0.092,-1.989,-1.627,"SD","PropDev.Z","StepLength.Z"
-0.006,0.015,-0.036,0.024,"SD","PropDev.Z","PropDev.Z:SD"
0.905,0.192,0.526,1.285,"WC_prev","PropSW.Z","PropSW.Z"
-0.154,1.504,-3.107,2.796,"WC_prev","PropSW.Z","WC_prev"
-1.904,0.096,-2.096,-1.72,"WC_prev","PropSW.Z","StepLength.Z"
-0.019,0.007,-0.032,-0.006,"WC_prev","PropSW.Z","PropSW.Z:WC_prev"
0.962,0.191,0.58,1.332,"SD","PropSW.Z","PropSW.Z"
-0.289,2.646,-5.484,4.902,"SD","PropSW.Z","SD"
-1.896,0.095,-2.087,-1.712,"SD","PropSW.Z","StepLength.Z"
-0.039,0.014,-0.067,-0.011,"SD","PropSW.Z","PropSW.Z:SD"
-0.673,0.195,-1.075,-0.304,"WC_prev","PropFoodSub.Z","PropFoodSub.Z"
-0.155,1.504,-3.107,2.795,"WC_prev","PropFoodSub.Z","WC_prev"
-1.779,0.092,-1.964,-1.602,"WC_prev","PropFoodSub.Z","StepLength.Z"
0,0.007,-0.014,0.013,"WC_prev","PropFoodSub.Z","PropFoodSub.Z:WC_prev"
-0.697,0.199,-1.103,-0.314,"SD","PropFoodSub.Z","PropFoodSub.Z"
-0.282,2.646,-5.478,4.909,"SD","PropFoodSub.Z","SD"
-1.779,0.092,-1.964,-1.602,"SD","PropFoodSub.Z","StepLength.Z"
0.003,0.013,-0.023,0.028,"SD","PropFoodSub.Z","PropFoodSub.Z:SD"
