"Beh_State","LC_Cov","Weath_Cov","WAIC","DIC","MLik"
"Roosting","BA.Z","SD",9664.64316681071,9544.47596346526,-11685.3708598456
"Roosting","Ht.Z","SD",9753.86022675411,9626.60380179688,-11729.4957189343
"Roosting","SW.Z","SD",10056.7907439062,9927.82656328115,-11876.1023195788
"Roosting","DtFE.Z","SD",10131.219779158,9993.07615814338,-11924.0190865343
"Roosting","Wind.Exp.Z","SD",10485.0512979408,10354.505984121,-12076.038808455
"Roosting","BA.Z","WC_prev",9663.38295221983,9543.00224168284,-11687.0953978746
"Roosting","Ht.Z","WC_prev",9753.60224326762,9626.49419356462,-11731.9884721738
"Roosting","SW.Z","WC_prev",10047.1904695012,9918.16893209872,-11872.2875085858
"Roosting","DtFE.Z","WC_prev",10130.2009415042,9990.24257110689,-11924.4233354117
"Roosting","Wind.Exp.Z","WC_prev",10479.9723114532,10348.4289681321,-12077.0018922064
