"mean","sd","0.025quant","0.975quant","WeatherCov","HabitatCov","CovName"
1.188,0.127,0.94,1.44,"WC_prev","BA.Z","BA.Z"
-0.121,1.441,-2.95,2.706,"WC_prev","BA.Z","WC_prev"
0.108,0.033,0.043,0.172,"WC_prev","BA.Z","StepLength.Z"
-0.007,0.004,-0.015,0,"WC_prev","BA.Z","BA.Z:WC_prev"
0.993,0.118,0.758,1.225,"SD","BA.Z","BA.Z"
-0.418,5.355,-10.932,10.087,"SD","BA.Z","SD"
0.107,0.033,0.042,0.17,"SD","BA.Z","StepLength.Z"
0.019,0.013,-0.006,0.044,"SD","BA.Z","BA.Z:SD"
0.633,0.19,0.258,1.01,"WC_prev","DtFE.Z","DtFE.Z"
-0.109,1.441,-2.937,2.718,"WC_prev","DtFE.Z","WC_prev"
0.109,0.031,0.047,0.169,"WC_prev","DtFE.Z","StepLength.Z"
-0.009,0.003,-0.016,-0.002,"WC_prev","DtFE.Z","DtFE.Z:WC_prev"
0.415,0.187,0.044,0.785,"SD","DtFE.Z","DtFE.Z"
-0.364,5.355,-10.878,10.14,"SD","DtFE.Z","SD"
0.109,0.031,0.047,0.169,"SD","DtFE.Z","StepLength.Z"
0.017,0.011,-0.004,0.038,"SD","DtFE.Z","DtFE.Z:SD"
0.995,0.111,0.775,1.214,"WC_prev","SW.Z","SW.Z"
-0.109,1.441,-2.938,2.717,"WC_prev","SW.Z","WC_prev"
0.118,0.031,0.057,0.178,"WC_prev","SW.Z","StepLength.Z"
-0.014,0.004,-0.021,-0.007,"WC_prev","SW.Z","SW.Z:WC_prev"
0.683,0.106,0.471,0.891,"SD","SW.Z","SW.Z"
-0.401,5.356,-10.915,10.106,"SD","SW.Z","SD"
0.114,0.031,0.053,0.174,"SD","SW.Z","StepLength.Z"
0.018,0.011,-0.003,0.039,"SD","SW.Z","SW.Z:SD"
1.306,0.197,0.921,1.699,"WC_prev","Ht.Z","Ht.Z"
-0.129,1.441,-2.958,2.697,"WC_prev","Ht.Z","WC_prev"
0.13,0.032,0.067,0.192,"WC_prev","Ht.Z","StepLength.Z"
0.002,0.005,-0.008,0.012,"WC_prev","Ht.Z","Ht.Z:WC_prev"
1.333,0.188,0.963,1.708,"SD","Ht.Z","Ht.Z"
-0.431,5.355,-10.945,10.075,"SD","Ht.Z","SD"
0.131,0.032,0.068,0.192,"SD","Ht.Z","StepLength.Z"
0,0.017,-0.033,0.035,"SD","Ht.Z","Ht.Z:SD"
-0.132,0.081,-0.296,0.025,"WC_prev","Wind.Exp.Z","Wind.Exp.Z"
-0.107,1.441,-2.936,2.719,"WC_prev","Wind.Exp.Z","WC_prev"
0.132,0.029,0.074,0.187,"WC_prev","Wind.Exp.Z","StepLength.Z"
0.006,0.003,-0.001,0.012,"WC_prev","Wind.Exp.Z","Wind.Exp.Z:WC_prev"
-0.041,0.069,-0.176,0.097,"SD","Wind.Exp.Z","Wind.Exp.Z"
-0.367,5.355,-10.881,10.138,"SD","Wind.Exp.Z","SD"
0.131,0.029,0.074,0.187,"SD","Wind.Exp.Z","StepLength.Z"
0,0.011,-0.021,0.021,"SD","Wind.Exp.Z","Wind.Exp.Z:SD"
